LANGUAGE,GENDER
language_371,"[1, 1]"
language_372,"[1, 0]"
language_373,"[0, 1]"
language_374,"[1, 1]"
language_375,"[0, 1]"
language_376,"[1, 1]"
language_377,"[1, 1]"
language_378,"[1, 1]"
language_380,"[1, 1]"
language_381,"[1, 1]"
language_382,"[1, 1]"
language_385,"[1, 1]"
language_387,"[1, 1]"
language_388,"[1, 1]"
language_389,"[1, 1]"
language_390,"[1, 1]"
language_391,"[1, 1]"
language_392,"[1, 0]"
language_393,"[1, 1]"
language_394,"[1, 1]"
language_395,"[1, 1]"
language_397,"[1, 1]"
language_398,"[1, 1]"
language_399,"[1, 1]"
language_400,"[1, 1]"
language_401,"[1, 1]"
language_402,"[1, 1]"
language_403,"[1, 1]"
language_404,"[1, 1]"
language_405,"[1, 1]"
language_406,"[1, 0]"
language_407,"[1, 1]"
language_408,"[1, 1]"
language_409,"[1, 1]"
language_410,"[1, 1]"
language_411,"[1, 1]"
language_412,"[1, 1]"
language_413,"[1, 0]"
language_414,"[1, 1]"
language_415,"[1, 1]"
language_416,"[1, 1]"
language_417,"[1, 1]"
language_418,"[1, 1]"
language_419,"[1, 1]"
language_420,"[1, 1]"
language_421,"[1, 0]"
language_422,"[0, 1]"
language_423,"[1, 1]"
language_424,"[1, 1]"
language_425,"[1, 1]"
language_426,"[1, 1]"
language_427,"[1, 1]"
language_428,"[1, 1]"
language_429,"[1, 1]"
language_430,"[0, 1]"
language_431,"[1, 1]"
language_432,"[1, 1]"
language_433,"[1, 1]"
language_434,"[1, 1]"
language_436,"[1, 1]"
language_437,"[0, 1]"
language_438,"[1, 1]"
language_439,"[1, 0]"
language_440,"[1, 1]"
language_441,"[1, 1]"
language_442,"[0, 1]"
language_443,"[1, 1]"
language_444,"[1, 1]"
language_445,"[1, 1]"
language_446,"[1, 1]"
language_447,"[1, 1]"
language_448,"[0, 1]"
language_449,"[1, 1]"
language_450,"[1, 1]"
language_451,"[1, 1]"
language_452,"[0, 1]"
language_454,"[1, 1]"
language_455,"[1, 1]"
language_456,"[1, 0]"
language_457,"[1, 0]"
language_458,"[1, 1]"
language_459,"[1, 1]"
language_460,"[1, 1]"
language_461,"[0, 1]"
language_462,"[1, 1]"
language_463,"[1, 1]"
language_464,"[1, 0]"
language_465,"[1, 1]"
language_466,"[1, 1]"
language_468,"[0, 1]"
language_469,"[0, 1]"
language_470,"[1, 1]"
language_471,"[1, 1]"
language_472,"[1, 1]"
language_473,"[1, 1]"
language_474,"[1, 1]"
language_475,"[1, 1]"
language_476,"[1, 1]"
language_477,"[1, 1]"
language_478,"[1, 1]"
language_479,"[1, 1]"
language_481,"[1, 1]"
language_482,"[1, 1]"
language_483,"[1, 1]"
language_484,"[1, 1]"
language_485,"[1, 1]"
language_486,"[1, 1]"
language_487,"[1, 1]"
language_488,"[0, 1]"
language_489,"[1, 1]"
language_490,"[1, 1]"
language_491,"[1, 1]"
language_492,"[1, 1]"
language_493,"[1, 1]"
language_494,"[0, 1]"
language_495,"[1, 1]"
language_496,"[1, 1]"
language_497,"[1, 1]"
language_498,"[1, 1]"
language_500,"[1, 1]"
language_501,"[1, 1]"
language_503,"[1, 1]"
language_505,"[1, 1]"
language_506,"[1, 1]"
language_507,"[0, 1]"
language_508,"[1, 1]"
language_509,"[0, 0]"
language_510,"[1, 1]"
language_512,"[0, 1]"
language_514,"[1, 1]"
language_515,"[1, 1]"
language_516,"[1, 1]"
language_517,"[1, 0]"
language_518,"[0, 1]"
language_519,"[1, 1]"
language_520,"[1, 1]"
language_521,"[1, 1]"
language_522,"[1, 1]"
language_523,"[1, 1]"
language_524,"[1, 1]"
language_525,"[1, 1]"
language_526,"[1, 1]"
language_527,"[1, 0]"
language_528,"[0, 1]"
language_529,"[1, 1]"
language_530,"[1, 1]"
language_531,"[1, 1]"
language_532,"[1, 1]"
language_533,"[1, 1]"
language_534,"[1, 1]"
language_535,"[1, 1]"
language_536,"[1, 1]"
language_537,"[1, 1]"
language_538,"[1, 1]"
language_540,"[1, 0]"
language_541,"[1, 1]"
language_542,"[1, 1]"
language_543,"[1, 1]"
language_544,"[1, 1]"
language_545,"[1, 1]"
language_546,"[0, 1]"
language_547,"[1, 1]"
language_548,"[1, 1]"
language_549,"[1, 1]"
language_550,"[1, 1]"
language_551,"[1, 1]"
language_553,"[0, 1]"
language_555,"[1, 1]"
language_556,"[1, 1]"
language_557,"[1, 1]"
language_558,"[1, 1]"
language_559,"[1, 1]"
language_560,"[1, 1]"
language_561,"[1, 1]"
language_562,"[1, 1]"
language_564,"[1, 1]"
language_565,"[1, 1]"
language_566,"[1, 1]"
language_567,"[1, 1]"
language_568,"[0, 1]"
language_569,"[1, 1]"
language_570,"[1, 1]"
language_571,"[0, 1]"
language_572,"[1, 1]"
language_573,"[1, 1]"
language_574,"[0, 1]"
language_575,"[0, 1]"
language_576,"[1, 1]"
language_578,"[1, 1]"
language_579,"[1, 1]"
language_580,"[1, 1]"
language_581,"[1, 1]"
language_582,"[1, 1]"
language_583,"[0, 1]"
language_584,"[1, 1]"
language_585,"[1, 1]"
language_586,"[1, 1]"
language_587,"[1, 0]"
language_588,"[1, 1]"
language_589,"[1, 1]"
language_590,"[1, 1]"
language_591,"[0, 1]"
language_592,"[1, 1]"
language_593,"[1, 1]"
language_594,"[1, 1]"
language_595,"[1, 1]"
language_596,"[1, 1]"
language_597,"[1, 0]"
language_598,"[1, 0]"
language_599,"[0, 1]"
language_601,"[1, 0]"
language_602,"[1, 1]"
language_603,"[1, 1]"
language_604,"[1, 1]"
language_606,"[1, 1]"
language_607,"[1, 1]"
language_608,"[1, 1]"
language_609,"[1, 1]"
language_610,"[1, 1]"
language_612,"[1, 1]"
language_613,"[1, 1]"
language_615,"[1, 1]"
language_616,"[1, 1]"
language_617,"[1, 1]"
language_618,"[1, 1]"
language_619,"[1, 1]"
language_620,"[1, 1]"
language_621,"[1, 1]"
language_622,"[1, 1]"
language_623,"[1, 1]"
language_624,"[1, 1]"
language_625,"[1, 1]"
language_626,"[1, 1]"
language_627,"[1, 1]"
language_628,"[1, 1]"
language_629,"[1, 1]"
language_630,"[1, 1]"
language_631,"[1, 1]"
language_632,"[1, 1]"
language_633,"[1, 1]"
language_634,"[1, 1]"
language_635,"[1, 1]"
language_636,"[1, 1]"
language_637,"[1, 1]"
language_639,"[1, 1]"
language_640,"[1, 1]"
language_641,"[1, 1]"
language_642,"[1, 1]"
language_643,"[1, 1]"
language_644,"[1, 1]"
language_645,"[1, 1]"
language_646,"[1, 1]"
language_648,"[1, 1]"
language_649,"[1, 1]"
language_650,"[1, 1]"
language_651,"[0, 1]"
language_652,"[0, 1]"
language_654,"[1, 1]"
language_655,"[1, 1]"
language_656,"[1, 1]"
language_657,"[1, 0]"
language_658,"[1, 1]"
language_659,"[1, 1]"
language_660,"[1, 1]"
language_662,"[1, 1]"
language_663,"[1, 1]"
language_665,"[1, 1]"
language_666,"[1, 1]"
language_667,"[1, 1]"
language_668,"[1, 1]"
language_670,"[1, 1]"
language_671,"[0, 1]"
language_672,"[1, 1]"
language_673,"[1, 1]"
language_674,"[1, 1]"
language_675,"[1, 0]"
language_676,"[1, 1]"
language_677,"[1, 1]"
language_678,"[1, 1]"
language_679,"[1, 1]"
language_680,"[1, 1]"
language_682,"[1, 1]"
language_683,"[1, 1]"
language_684,"[1, 1]"
language_685,"[1, 1]"
language_686,"[1, 1]"
language_688,"[1, 1]"
language_689,"[1, 1]"
language_690,"[1, 1]"
language_691,"[1, 1]"
language_692,"[1, 1]"
language_693,"[1, 1]"
language_694,"[1, 0]"
language_695,"[1, 1]"
language_696,"[1, 1]"
language_697,"[0, 1]"
language_698,"[1, 1]"
language_700,"[1, 1]"
language_701,"[1, 1]"
language_703,"[1, 1]"
language_704,"[0, 1]"
language_705,"[1, 1]"
language_706,"[1, 0]"
language_707,"[1, 1]"
language_708,"[1, 1]"
language_711,"[0, 1]"
language_712,"[1, 1]"
language_713,"[1, 1]"
language_714,"[1, 1]"
language_715,"[1, 1]"
language_716,"[1, 1]"
language_717,"[1, 0]"
language_718,"[1, 0]"
language_719,"[1, 1]"
language_720,"[0, 1]"
language_721,"[1, 1]"
language_722,"[1, 1]"
language_723,"[0, 1]"
language_724,"[1, 1]"
language_725,"[1, 1]"
language_726,"[0, 1]"
language_727,"[1, 1]"
language_728,"[1, 1]"
language_729,"[1, 1]"
language_730,"[1, 1]"
language_731,"[1, 0]"
language_733,"[0, 1]"
language_734,"[1, 1]"
language_735,"[1, 1]"
language_736,"[0, 1]"
language_737,"[1, 1]"
language_738,"[1, 1]"
language_739,"[1, 1]"
language_740,"[1, 1]"
language_741,"[1, 1]"
language_742,"[1, 1]"
language_743,"[1, 1]"
language_744,"[1, 1]"
language_745,"[1, 1]"
language_746,"[1, 1]"
language_747,"[1, 1]"
language_748,"[1, 1]"
language_749,"[1, 1]"
language_750,"[1, 1]"
language_751,"[1, 1]"
language_752,"[0, 1]"
language_753,"[1, 1]"
language_754,"[1, 1]"
language_755,"[1, 1]"
language_756,"[0, 1]"
language_757,"[1, 1]"
language_758,"[1, 1]"
language_759,"[1, 1]"
language_760,"[1, 0]"
language_761,"[1, 1]"
language_762,"[1, 1]"
language_763,"[1, 1]"
language_764,"[1, 1]"
language_765,"[1, 1]"
language_766,"[1, 1]"
language_767,"[1, 1]"
language_768,"[1, 0]"
language_769,"[1, 1]"
language_770,"[1, 1]"
language_771,"[1, 1]"
language_772,"[1, 1]"
language_773,"[1, 1]"
language_774,"[1, 1]"
language_775,"[1, 1]"
language_776,"[1, 1]"
language_777,"[1, 1]"
language_779,"[1, 1]"
language_781,"[1, 1]"
language_782,"[1, 1]"
language_783,"[1, 1]"
language_784,"[1, 1]"
language_785,"[0, 1]"
language_786,"[1, 1]"
language_787,"[1, 1]"
language_788,"[1, 1]"
language_789,"[1, 1]"
language_790,"[1, 1]"
language_791,"[0, 1]"
language_792,"[1, 1]"
language_793,"[1, 1]"
language_794,"[1, 1]"
language_797,"[1, 1]"
language_798,"[1, 1]"
language_799,"[1, 1]"
language_800,"[1, 1]"
language_801,"[1, 1]"
language_802,"[1, 1]"
language_803,"[1, 1]"
language_804,"[1, 1]"
language_805,"[1, 1]"
language_806,"[1, 1]"
language_807,"[1, 1]"
language_808,"[1, 1]"
language_809,"[1, 1]"
language_810,"[1, 0]"
language_812,"[1, 1]"
language_813,"[1, 0]"
language_814,"[1, 0]"
language_815,"[1, 1]"
language_816,"[1, 1]"
language_817,"[1, 1]"
language_818,"[0, 1]"
language_819,"[1, 0]"
language_820,"[0, 1]"
language_821,"[1, 1]"
language_822,"[1, 1]"
language_823,"[1, 1]"
language_824,"[1, 1]"
language_825,"[1, 1]"
language_826,"[1, 1]"
language_827,"[0, 1]"
language_829,"[0, 1]"
language_830,"[1, 1]"
language_831,"[1, 1]"
language_832,"[1, 1]"
language_833,"[1, 1]"
language_834,"[1, 0]"
language_835,"[1, 1]"
language_837,"[1, 1]"
language_838,"[1, 1]"
language_840,"[1, 1]"
language_841,"[1, 1]"
language_842,"[1, 1]"
language_843,"[1, 1]"
language_844,"[1, 1]"
language_845,"[1, 1]"
language_846,"[1, 1]"
language_847,"[1, 1]"
language_849,"[1, 1]"
language_850,"[1, 1]"
language_851,"[1, 1]"
language_852,"[1, 1]"
language_854,"[1, 1]"
language_855,"[1, 1]"
language_856,"[1, 1]"
language_858,"[1, 1]"
language_859,"[1, 1]"
language_860,"[1, 1]"
language_861,"[1, 1]"
language_862,"[1, 1]"
language_863,"[0, 1]"
language_864,"[1, 1]"
language_865,"[0, 1]"
language_866,"[1, 1]"
language_867,"[1, 1]"
language_868,"[1, 1]"
language_869,"[1, 1]"
language_870,"[1, 1]"
language_871,"[1, 1]"
language_872,"[1, 1]"
language_873,"[1, 1]"
language_874,"[1, 1]"
language_875,"[1, 1]"
language_876,"[1, 1]"
language_877,"[1, 1]"
language_878,"[1, 1]"
language_879,"[1, 1]"
language_880,"[1, 1]"
language_881,"[1, 1]"
language_882,"[1, 1]"
language_883,"[1, 1]"
language_885,"[1, 1]"
language_886,"[1, 1]"
language_887,"[1, 1]"
language_888,"[1, 1]"
language_889,"[1, 1]"
language_890,"[1, 0]"
language_891,"[1, 1]"
language_893,"[1, 1]"
language_894,"[1, 1]"
language_895,"[1, 1]"
language_896,"[1, 1]"
language_897,"[1, 1]"
language_898,"[1, 1]"
language_899,"[1, 1]"
language_901,"[1, 1]"
language_902,"[1, 1]"
language_903,"[1, 1]"
language_904,"[1, 1]"
language_905,"[0, 1]"
language_906,"[1, 1]"
language_907,"[1, 1]"
language_908,"[1, 1]"
language_909,"[1, 1]"
language_910,"[1, 1]"
language_911,"[1, 1]"
language_912,"[0, 1]"
language_913,"[1, 1]"
language_914,"[1, 1]"
language_915,"[1, 1]"
language_916,"[1, 1]"
language_917,"[1, 1]"
language_918,"[1, 1]"
language_919,"[1, 1]"
language_920,"[1, 1]"
language_921,"[0, 1]"
language_922,"[1, 1]"
language_923,"[1, 1]"
language_924,"[1, 1]"
language_925,"[1, 1]"
language_926,"[1, 1]"
language_927,"[1, 1]"
language_928,"[1, 1]"
language_929,"[1, 1]"
language_930,"[0, 1]"
language_931,"[1, 1]"
language_932,"[1, 1]"
language_933,"[1, 1]"
language_935,"[1, 1]"
language_936,"[1, 0]"
language_937,"[1, 1]"
language_938,"[1, 1]"
language_939,"[0, 1]"
language_941,"[1, 1]"
language_942,"[1, 0]"
language_943,"[1, 0]"
language_944,"[1, 1]"
language_945,"[1, 1]"
language_947,"[1, 1]"
language_948,"[1, 1]"
language_949,"[0, 1]"
language_950,"[1, 1]"
language_951,"[1, 1]"
language_952,"[1, 1]"
language_953,"[1, 1]"
language_954,"[1, 1]"
language_955,"[1, 1]"
language_956,"[1, 1]"
language_957,"[1, 1]"
language_958,"[1, 1]"
language_959,"[1, 1]"
language_960,"[1, 1]"
language_961,"[0, 1]"
language_962,"[1, 1]"
language_963,"[1, 1]"
language_964,"[1, 1]"
language_965,"[1, 1]"
language_966,"[1, 1]"
language_967,"[1, 1]"
language_968,"[1, 1]"
language_969,"[1, 1]"
language_970,"[1, 1]"
language_971,"[1, 1]"
language_972,"[1, 1]"
language_973,"[1, 1]"
language_974,"[1, 0]"
language_975,"[1, 1]"
language_976,"[1, 1]"
language_977,"[1, 1]"
language_978,"[0, 1]"
language_979,"[1, 1]"
language_980,"[1, 1]"
language_981,"[1, 1]"
language_982,"[1, 1]"
language_983,"[1, 1]"
language_984,"[1, 1]"
language_985,"[1, 1]"
language_987,"[1, 1]"
language_988,"[1, 1]"
language_989,"[1, 1]"
language_990,"[1, 0]"
language_991,"[1, 1]"
language_992,"[1, 1]"
language_993,"[0, 1]"
language_994,"[1, 0]"
language_995,"[1, 0]"
language_996,"[1, 1]"
language_997,"[1, 1]"
language_999,"[1, 0]"
language_1000,"[1, 1]"
